test_date,category,fund_name,hist_pick_ann,hist_pick_hit,hist_n_months,fwd_months,fwd_alpha_ann,random_alpha
May 2025,Small Cap,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,9.24,63.6,11,6,18.26,7.36
May 2025,Flexi Cap,HDFC Flexi Cap Fund,30.14,76.2,20,6,15.48,-15.39
May 2025,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,22.87,84.2,19,6,19.15,15.73
May 2025,Multi Cap,WhiteOak Capital Multi Cap Fund Direct Plan Growth,26.27,77.8,18,6,25.83,
May 2025,Multi Cap,Edelweiss Multi Cap Fund,25.13,73.7,18,6,18.75,-3.45
May 2025,Large & Mid Cap,HDFC Large and Mid Cap Fund,27.08,76.2,20,6,19.61,-68.43
May 2025,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,23.37,83.3,24,6,19.37,21.81
May 2025,Focused,Edelweiss Focused Fund,22.77,75.0,24,6,14.61,5.28
May 2025,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,18.53,70.8,23,6,23.04,-4.21
May 2025,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,23.58,70.8,23,6,15.29,8.72
May 2025,Value / Contrarian,Quant Value Fund ,10.76,54.5,22,6,8.72,-3.78
May 2025,Tax Saver (ELSS),WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,27.52,85.0,20,6,19.24,13.6
May 2025,Tax Saver (ELSS),Sundaram ELSS Tax Saver Fund Direct Plan Growth,35.59,75.0,8,0,,-12.43
May 2025,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,32.11,75.0,23,6,16.29,-6.31
May 2025,Thematic / Sectoral,HDFC Housing Opportunities Fund ,24.94,70.0,20,6,17.77,4.37
May 2025,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,19.09,85.0,20,5,7.8,-10.53
May 2025,Balanced Advantage,HDFC Balanced Advantage Fund Plan,22.77,76.2,20,6,12.03,-11.44
May 2025,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,21.51,79.2,24,6,13.89,0.9
May 2025,Hybrid,HDFC Hybrid Equity Fund,17.4,76.2,20,6,10.52,13.89
Jul 2025,Large Cap,Edelweiss Large Cap Fund-Growth option,20.66,73.1,26,6,5.24,7.71
Jul 2025,Large Cap,Mirae Asset Large Cap Fund,17.64,73.1,25,6,7.71,7.91
Jul 2025,Mid Cap,Edelweiss Mid Cap Fund,33.82,80.8,26,6,3.26,-1.96
Jul 2025,Mid Cap,Mirae Asset Midcap Fund- Direct Growth Option,26.74,73.1,25,6,10.65,-1.96
Jul 2025,Small Cap,Edelweiss Small Cap Fund,28.5,73.1,26,6,-2.33,-13.87
Jul 2025,Small Cap,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,14.67,69.2,13,6,-1.45,-2.35
Jul 2025,Flexi Cap,HDFC Flexi Cap Fund,29.59,78.3,22,6,8.06,0.02
Jul 2025,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,25.01,85.7,21,6,3.97,9.05
Jul 2025,Multi Cap,WhiteOak Capital Multi Cap Fund Direct Plan Growth,29.45,80.0,20,6,5.74,-0.92
Jul 2025,Multi Cap,Edelweiss Multi Cap Fund,27.86,76.2,20,6,2.6,4.3
Jul 2025,Large & Mid Cap,HDFC Large and Mid Cap Fund,29.14,78.3,22,6,2.9,9.24
Jul 2025,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,25.76,84.6,26,6,5.65,2.9
Jul 2025,Focused,Edelweiss Focused Fund,24.12,76.9,26,6,3.77,4.69
Jul 2025,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,20.54,73.1,25,6,14.71,1.71
Jul 2025,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,24.21,73.1,25,6,8.83,5.12
Jul 2025,Value / Contrarian,Quant Value Fund ,11.87,58.3,24,6,4.35,7.44
Jul 2025,Tax Saver (ELSS),WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,29.62,86.4,22,6,2.09,8.0
Jul 2025,Tax Saver (ELSS),Sundaram ELSS Tax Saver Fund Direct Plan Growth,35.59,75.0,8,0,,-3.04
Jul 2025,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,31.01,73.1,25,6,4.52,
Jul 2025,Thematic / Sectoral,HDFC Housing Opportunities Fund ,26.97,72.7,22,6,-2.84,-8.81
Jul 2025,Balanced Advantage,HDFC Balanced Advantage Fund Plan,23.13,78.3,22,6,4.74,5.05
Jul 2025,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,19.44,85.7,21,6,4.82,5.27
Jul 2025,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,22.6,80.8,26,6,3.18,4.84
Jul 2025,Hybrid,Sundaram Multi Asset Allocation Fund Direct Plan Growth,18.96,76.5,16,6,17.46,7.21
Sep 2025,Large Cap,Edelweiss Large Cap Fund-Growth option,17.38,67.9,28,6,11.17,-5.98
Sep 2025,Large Cap,Mirae Asset Large Cap Fund,15.22,67.9,27,6,5.31,8.95
Sep 2025,Mid Cap,Edelweiss Mid Cap Fund,29.37,75.0,28,6,10.15,0.75
Sep 2025,Mid Cap,SBI MIDCAP FUND - DIRECT PLAN - GROWTH,18.23,71.4,27,6,10.65,10.24
Sep 2025,Small Cap,Edelweiss Small Cap Fund,24.6,67.9,28,6,0.46,-9.03
Sep 2025,Small Cap,Tata Small Cap Fund-Direct Plan-Growth,11.55,64.3,28,6,-23.7,1.45
Sep 2025,Flexi Cap,HDFC Flexi Cap Fund,26.47,76.0,24,6,9.77,-11.94
Sep 2025,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,21.3,78.3,23,6,2.12,12.01
Sep 2025,Multi Cap,WhiteOak Capital Multi Cap Fund Direct Plan Growth,25.6,72.7,22,6,3.43,-0.96
Sep 2025,Multi Cap,HDFC Multi Cap Fund,23.42,68.0,24,6,2.44,
Sep 2025,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,21.9,78.6,28,6,10.66,6.45
Sep 2025,Large & Mid Cap,HDFC Large and Mid Cap Fund,24.55,72.0,24,6,7.11,-7.32
Sep 2025,Focused,Edelweiss Focused Fund,20.6,71.4,28,6,12.63,-2.95
Sep 2025,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,17.8,67.9,27,6,15.97,
Sep 2025,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,21.25,67.9,27,6,10.41,5.53
Sep 2025,Value / Contrarian,Quant Value Fund ,10.82,57.7,26,6,5.53,10.41
Sep 2025,Tax Saver (ELSS),Sundaram ELSS Tax Saver Fund Direct Plan Growth,35.59,75.0,8,0,,8.14
Sep 2025,Tax Saver (ELSS),WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,25.53,79.2,24,6,-0.63,12.98
Sep 2025,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,30.15,75.0,27,6,3.64,5.52
Sep 2025,Thematic / Sectoral,Edelweiss Recently Listed IPO Fund Direct Plan Growth,19.24,77.3,22,6,-8.64,-26.74
Sep 2025,Balanced Advantage,HDFC Balanced Advantage Fund Plan,19.72,72.0,24,6,8.43,8.56
Sep 2025,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,16.87,78.3,23,6,4.17,8.3
Sep 2025,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,19.75,75.0,28,6,6.0,3.62
Sep 2025,Hybrid,Edelweiss Equity Savings Fund,12.86,85.7,28,6,6.98,6.0
Nov 2025,Large Cap,Edelweiss Large Cap Fund-Growth option,18.35,70.0,30,6,-7.89,-9.32
Nov 2025,Large Cap,Mirae Asset Large Cap Fund,16.05,70.0,29,6,-9.53,-7.89
Nov 2025,Mid Cap,Edelweiss Mid Cap Fund,29.37,76.7,30,6,3.3,17.79
Nov 2025,Mid Cap,Mirae Asset Midcap Fund- Direct Growth Option,24.9,70.0,29,6,0.15,4.08
Nov 2025,Small Cap,Edelweiss Small Cap Fund,24.48,70.0,30,6,0.92,-14.69
Nov 2025,Small Cap,BANDHAN SMALL CAP FUND - DIRECT PLAN GROWTH,12.43,70.6,17,6,4.02,0.92
Nov 2025,Flexi Cap,HDFC Flexi Cap Fund,26.76,77.8,26,6,-9.72,-6.76
Nov 2025,Flexi Cap,WhiteOak Capital Flexi Cap Fund Direct Plan-Growth,21.98,80.0,25,6,-6.76,-5.12
Nov 2025,Multi Cap,WhiteOak Capital Multi Cap Fund Direct Plan Growth,26.16,75.0,24,6,-4.14,-1.31
Nov 2025,Multi Cap,HDFC Multi Cap Fund,24.0,70.4,26,6,-9.59,6.26
Nov 2025,Large & Mid Cap,Edelweiss Large & Mid Cap Fund,22.57,80.0,30,6,-0.2,6.65
Nov 2025,Large & Mid Cap,HDFC Large and Mid Cap Fund,25.35,74.1,26,6,-7.36,-3.05
Nov 2025,Focused,Edelweiss Focused Fund,21.14,73.3,30,6,-3.88,-9.11
Nov 2025,Focused,SBI FOCUSED FUND - DIRECT PLAN -GROWTH,19.46,70.0,29,6,12.19,-2.06
Nov 2025,Value / Contrarian,SBI CONTRA FUND - DIRECT PLAN - GROWTH,21.87,70.0,29,6,-7.32,7.5
Nov 2025,Value / Contrarian,Quant Value Fund ,10.32,57.1,28,6,7.5,5.66
Nov 2025,Tax Saver (ELSS),Sundaram ELSS Tax Saver Fund Direct Plan Growth,35.59,75.0,8,0,,-5.29
Nov 2025,Tax Saver (ELSS),WhiteOak Capital ELSS Tax Saver Fund Direct Plan Growth,25.61,80.8,26,6,-7.85,-0.46
Nov 2025,Thematic / Sectoral,SBI HEALTHCARE OPPORTUNITIES FUND - DIRECT PLAN -GROWTH,28.84,73.3,29,6,4.31,0.24
Nov 2025,Thematic / Sectoral,HDFC Housing Opportunities Fund ,23.29,69.2,26,6,-6.8,-16.0
Nov 2025,Balanced Advantage,HDFC Balanced Advantage Fund Plan,20.29,74.1,26,6,-4.49,-1.44
Nov 2025,Balanced Advantage,WhiteOak Capital Balanced Advantage Fund Direct Plan Growth,17.14,80.0,25,6,-3.88,3.58
Nov 2025,Hybrid,Edelweiss Aggressive Hybrid Fund-Direct Plan-Growth Option,19.99,76.7,30,6,-2.12,-0.24
Nov 2025,Hybrid,Edelweiss Equity Savings Fund,13.01,86.7,30,6,3.85,3.59
